N
N	51.8491
N	51.8491	-8.29956
N	51.8491	-8.29956	P257
N	51.8491	-8.29956	P257	01 Oct 2022
N	51.8491	-8.29956	P257	01 Oct 2022	P257\nCobh to Cork\nExpected Departure 21:30
N	51.8491	-8.29956	P257	01 Oct 2022	P257\nCobh to Cork\nExpected Departure 21:30	To Cork
N
N	51.9212
N	51.9212	-8.17579
N	51.9212	-8.17579	P290
N	51.9212	-8.17579	P290	01 Oct 2022
N	51.9212	-8.17579	P290	01 Oct 2022	P290\nMidleton to Cork\nExpected Departure 21:45
N	51.9212	-8.17579	P290	01 Oct 2022	P290\nMidleton to Cork\nExpected Departure 21:45	To Cork
N
N	53.146
N	53.146	-7.18055
N	53.146	-7.18055	B287
N	53.146	-7.18055	B287	01 Oct 2022
N	53.146	-7.18055	B287	01 Oct 2022	B287\nPortarlington to Hazelhatch\nExpected Departure 21:30
N	53.146	-7.18055	B287	01 Oct 2022	B287\nPortarlington to Hazelhatch\nExpected Departure 21:30	To Hazelhatch
N
N	53.3223
N	53.3223	-6.52356
N	53.3223	-6.52356	B219
N	53.3223	-6.52356	B219	01 Oct 2022
N	53.3223	-6.52356	B219	01 Oct 2022	B219\nHazelhatch to Portlaoise\nExpected Departure 21:30
N	53.3223	-6.52356	B219	01 Oct 2022	B219\nHazelhatch to Portlaoise\nExpected Departure 21:30	To Portlaoise
N
N	53.3223
N	53.3223	-6.52356
N	53.3223	-6.52356	B239
N	53.3223	-6.52356	B239	01 Oct 2022
N	53.3223	-6.52356	B239	01 Oct 2022	B239\nHazelhatch to Portlaoise\nExpected Departure 21:30
N	53.3223	-6.52356	B239	01 Oct 2022	B239\nHazelhatch to Portlaoise\nExpected Departure 21:30	To Portlaoise
N
N	53.3223
N	53.3223	-6.52356
N	53.3223	-6.52356	P220
N	53.3223	-6.52356	P220	01 Oct 2022
N	53.3223	-6.52356	P220	01 Oct 2022	P220\nHazelhatch to Dublin Heuston\nExpected Departure 21:33
N	53.3223	-6.52356	P220	01 Oct 2022	P220\nHazelhatch to Dublin Heuston\nExpected Departure 21:33	To Dublin Heuston
